,SP.ADO.TFRT,NV.AGR.TOTL.ZS,ER.H2O.FWTL.ZS,SH.STA.BRTC.ZS,EN.ATM.CO2E.PC,SP.DYN.CONU.ZS,FS.AST.DOMS.GD.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,NE.EXP.GNFS.ZS,DT.DOD.DECT.CD,SP.DYN.TFRT.IN,BX.KLT.DINV.CD.WD,AG.LND.FRST.K2,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,NE.GDI.TOTL.ZS,TX.VAL.TECH.MF.ZS,SH.IMM.MEAS,NE.IMP.GNFS.ZS,SI.DST.FRST.20,NV.IND.TOTL.ZS,NY.GDP.DEFL.KD.ZG,TG.VAL.TOTL.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SH.DYN.MORT,TT.PRI.MRCH.XD.WD,SM.POP.NETM,DT.ODA.ALLD.CD,BX.TRF.PWKR.CD.DT,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL,SI.POV.DDAY,SI.POV.NAHC,SH.DYN.AIDS.ZS,SH.STA.MALN.ZS,SE.PRM.CMPT.ZS,GC.REV.XGRT.GD.ZS,SE.PRM.ENRR,SE.ENR.PRSC.FM.ZS,SE.SEC.ENRR,IQ.SCI.OVRL,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,ER.PTD.TOTL.ZS,IC.REG.DURS,DT.TDS.DECT.EX.ZS,SP.URB.GROW,SP.DYN.LE00.IN
Aruba - 2013 [YR2013],37.026,0.0178169158304321,,,,,,,,76.5513004300635,,2.117,226371388.826816,4.2,2727932960.89385,6.42981691368789,25500,34710,2623748381.30449,3570658808.16403,23.8173254147041,5.14004404663994,,85.3368830636904,,10.7493344255581,-1.9867549668874,60.7053041163219,,134.9144635,,101.8871995,134,,6337950.83798883,571.555555555556,0.749301039347625,102880,,,,,96.5706405639648,,116.03929901123,,,,180,,,,,0.826413457840807,Class 75.0-79.0
Australia - 2013 [YR2013],15.059,2.28565217787462,3.89186991869919,99,16.442242258334,,,10220.8873013463,5468.39136879598,19.9857077588126,,1.855,54465480054.6771,1316751.4,1576380424746.08,2.57875428825342,66050,44770,1527688993739.46,1035357049815.39,27.883147260849,18.0024569081412,94,21.2891913949774,,25.1973643961788,-0.153610470416552,31.4087254718197,1.63970803440996,107.910329,4.1,176.8117884,214564,,2442450025.17865,3.01057352615753,1.721151439989,23128129,,,0.1,,,24.4653751583146,105.993850708008,,,,7741220,21.9553816536045,,2.5,,1.83817579922612,Class 80.0-84.0
Austria - 2013 [YR2013],8.462,1.25472121594195,6.34545454545455,98.5,7.75334579507143,65.7,,8509.61158033605,3919.04441873374,53.4412932967224,,1.44,451107665.231021,38739.94,430190979705.962,0.0255047121972183,50720,48050,430137211619.517,407466618825.439,23.7233900013028,15.369008411283,92,50.625120789651,8.1,25.5249417894219,1.62388806972808,83.3195061981521,0.750825383084571,156.5179428,3.9,87.99885103,56494,,3261505683.9693,102.760821619001,0.589387254692989,8479823,0.3,14.1,,,97.6060104370117,44.8594733972564,101.210121154785,0.972970008850098,99.197380065918,,83879,26.4151730942712,,25,,0.919560199445851,Class 80.0-84.0
Azerbaijan - 2013 [YR2013],61.472,5.3662644804235,147.800369685767,99.9,3.28557436862051,,,2092.53652062946,1474.00343280059,48.4158330755216,10573140788.7,1.98,2619437000,10597.3,74164435946.4627,5.80980084268208,7450,16330,70151075965.9954,153814756946.049,25.6579354439517,13.7739672073665,98,26.2600116874635,,57.0544154549517,0.445064509020867,56.6632773022584,4.54092330961466,105.3629953,30.3,198.0009746,2289,-70830001.8310547,1733168000,113.923480806688,1.29344702700591,9416801,,,0.2,4.9,88.0894088745117,40.4057956068887,100.500450134277,,,74.4444444444444,86600,13.3883331614589,,7,5.24808614664192,1.7785151839915,Class 70.0-74.0
"Bahamas, The - 2013 [YR2013]",28.784,0.920210550232893,,98.6,7.28406586282899,,83.5952588328852,,,39.7886923921687,,1.51,382252000,5098.6,10562800000,-2.86329394469671,26280,29380,10134563899.1929,11331939743.5128,28.9932593630477,,92,45.6763358200477,,12.8327716135873,1.43332064920455,39.01427651759,,74.41981071,14.4,88.99046645,1001,,,38.5264735264735,0.934994065798907,385650,,,1.7,,,13.0932301740069,,,76.8948211669922,,13880,11.6741860992351,,23.5,,1.0122291225219,Class 70.0-74.0
Bahrain - 2013 [YR2013],16.892,0.274789045054941,4612.954545,99.8,22.8688416095137,,,19483.653846916,10860.4686000255,104.804803332124,,2.164,3727712765.95745,5.68,32539468085.1064,5.41683981012071,24790,51700,31282350546.3857,65227977632.6593,25.9405926027639,0.592038996188625,99,87.0677507838272,,47.9453756649045,0.384140010808977,98.1177686017962,4.14145178849907,175.1793056,7.7,139.1667274,27227,,,1638.53636363636,2.95475711852975,1261673,,,0.1,,94.4823684692383,,97.6742782592773,1.01445996761322,96.67333984375,,770,,,9.3,,3.03697968951029,Class 75.0-79.0
Bangladesh - 2013 [YR2013],99.307,15.4932779979784,34.1619047619048,36.5,0.393401579673962,61.8,,299.480350400775,220.232314404391,19.5378741103687,32453648016.8,2.184,2602962095.36816,18853.768,149990451022.29,6.0136056584178,1030,3990,158833016482.47,613884173745.352,28.3896207543569,0.299088589886605,91,26.7585286136071,,26.307070164309,7.17495342652015,44.135476324531,1.25819752209315,75.66900657,42.1,62.08863984,-194048,2633590087.89063,13866954019.3967,1183.29983099024,1.26715729721878,154030139,,,0.1,35.1,,11.1604123716535,,,60.1687431335449,65.5555555555556,148460,8.96241331564248,,21.8,6.11014310075419,3.64237554020305,Class 65.0-69.0
Barbados - 2013 [YR2013],42.192,1.42177613277448,87.5,98.6,5.20531667057953,,,,,40.9257725316828,,1.63,104089451.159478,63,4677248300,-1.44740681837786,16080,15090,4451873657.42552,4178437974.81824,16.5226528598022,,87,51.2726681626032,,14.0873427651895,2.94669306490715,47.3782843643345,,111.1400863,14.6,106.501117,-65,,190981632.979834,643.872093023256,0.241564354388319,276865,,,1,,,24.7305705151467,,,,,430,23.0699473021349,,18,,-0.151581297253827,Class 75.0-79.0
Belarus - 2013 [YR2013],23.005,6.80912226763989,4.45294117647059,99.8,6.35273319636721,,37.9237724424186,3657.12467930665,2888.46029173763,58.3335781066769,39573469218.4,1.668,2246100000,86321,75527984234.2342,1.00347084085645,7030,18330,66403547591.7565,173067538960.123,38.7980262073973,4.59399155745754,99,61.4823871290472,9.5,35.9038510426226,21.2572956110887,106.590955413728,1.27079665150066,114.686658,4.6,116.9938253,10496,107139999.389648,1213500000,46.5393725235082,-0.0383800002667846,9443211,0,5.5,0.3,,100.264938354492,28.7220108739005,98.2072525024414,0.984350025653839,105.428260803223,86.6666666666667,207600,13.3549628478795,,12,10.377496224226,0.622602357749472,Class 70.0-74.0
Belgium - 2013 [YR2013],7.825,0.681174913459581,40.2416666666667,,8.65514628151836,66.8,,7989.67185263518,4997.46330606994,79.3243484015476,,1.76,-29640924980.1455,6895.28,521791015247.06,0.459242192907709,47900,44750,534535196101.19,499349513623.745,22.4281969049074,10.6391694140643,96,78.5264966401955,8.6,19.8791997556506,1.27125815498337,176.39954945644,1.00895947872124,110.9153557,4.2,94.14823319,56755,,11695085497.9929,368.540521796565,0.471340143966627,11159407,0.1,,,,,42.8152616575036,103.821968078613,1.08219003677368,160.919235229492,,30530,26.1908470779882,,4.5,,0.517369105105909,Class 80.0-84.0
Belize - 2013 [YR2013],72.832,10.1075486573048,0.661861074705111,93,1.32844775565149,,,,,56.1714708056172,1248681027.9,2.53,92247730.9426541,13562.54,2029500000,4.52926208651398,5510,8770,1900410974.68179,3021937022.52201,13.9935944813994,,99,52.7962552352796,,15.6294407489529,2.02635770609723,75.7329391475733,1.12566309127504,50.65885671,16.9,118.0629105,1504,51270000.4577637,74401710.3702047,15.1112669881631,2.23816708234299,344688,,,1.3,,101.698776245117,21.4246900622963,111.957489013672,0.989560008049011,80.0740280151367,57.7777777777778,22970,18.5233406279872,,43,12.748980271253,2.31775706385302,Class 70.0-74.0
Benin - 2013 [YR2013],93.969,25.2754046390823,1.2621359223301,,0.453634928841865,,,93.9009945939025,394.262532824121,27.570565319312,1997570045.4,5.345,360343380.324677,34851.5,12517845127.6775,7.19143372144946,1180,2580,12214953760.6838,26561886938.3552,18.86187234768,1.27585565497432,68,31.6296265138756,,17.2437092893088,1.39729839455183,39.8790682348552,0.687239683496254,93.39120338,102.3,123.4199323,-899,660200012.207031,248800533.682456,91.4218694572543,2.89992060914312,10308730,,,1.1,,78.605598449707,,128.736099243164,0.834890007972717,55.9656181335449,66.6666666666667,114760,,,18.5,3.16980664917646,4.06477385190632,Class 55.0-59.0
Bermuda - 2013 [YR2013],11.711,0.328283343819346,,,,,,,,51.6131910947459,,1.6,54904045.8298395,10,6465756000,-0.279708545423034,101760,72180,6614504760.55766,4691734061.22244,10.8931113391845,12.6000042320837,,24.656915602754,,5.29900911819128,1.65727319420499,15.8372818275233,,148.4899065,,95.63081275,-254,,1224886398.23913,1203.72222222222,0.312791570829084,65001,,,,,98.2360916137695,,96.8060073852539,1.06640994548798,77.0153121948242,,4290,,,,,0.312791570829084,Class 75.0-79.0
Bhutan - 2013 [YR2013],32.736,14.0912157774554,0.433205128205128,89,0.914954128817968,,,,,41.4302253684447,1528150561,2.087,20433631.0650379,27112.24,1756215665.09323,2.11997263298215,2350,7240,1714626354.26057,5275721526.07621,47.1816474580639,,94,63.7690810536679,,43.3669119401891,5.86984321950898,82.7347135593889,,74.68047217,36.3,123.3313311,-730,136800003.051758,11804283.7060374,19.1224125718183,1.06812304057562,728889,,,0.3,,96.6399917602539,20.4550808848822,106.94310760498,1.038370013237,75.6126480102539,75.5555555555556,38394,14.7226979126826,,30,11.8209262922086,3.18450810377003,Class 65.0-69.0
Bolivia - 2013 [YR2013],72.664,9.9669794768463,0.687973640856672,84.2,1.74453980783832,,50.067147616787,682.934157682116,726.323700365687,44.0924795250944,8141786767.5,3.01,1749612614.39791,524507.36,30659338885.6729,6.79601142810841,2540,6100,27255049589.4402,65495334662.9702,19.0177268858945,9.36490977549173,87,37.138428001623,3.6,28.5181929044884,5.99538836854924,68.4783193737127,1.84124031434344,97.04333351,35.2,153.9457727,-11371,702299987.792969,1201339478.59819,9.91724268439029,1.62957319915505,10743349,5.2,,0.3,,94.4482116699219,,97.0145721435547,0.986109972000122,89.89794921875,72.2222222222222,1098580,,,49,4.25566887803739,2.19840031092091,Class 65.0-69.0
Bosnia and Herzegovina - 2013 [YR2013],10.863,6.84139112671187,1.22760563380282,,6.03937627554934,,65.0662258600553,3402.29419893359,1784.07705306258,33.7430468198782,13780032960.1,1.276,313295008.331529,21373.64,18178503835.4491,2.3498566632458,5160,10930,18664876027.3698,39546946732.419,21.2335805467275,2.40453152014227,92,54.1881944917975,,22.3236757020136,-0.224122003175367,87.9170263112317,1.08705579799922,96.42745189,6.5,99.52759738,-37030,521210021.972656,1957987470.1827,70.65544921875,-1.55832890226336,3617559,,,,,79.5856323242188,38.4486786204093,,,,68.8888888888889,51210,19.751544642443,,82,20.6604994954051,-0.868074565335509,Class 75.0-79.0
Botswana - 2013 [YR2013],50.406,1.99354322327234,7.96458333333333,99.9,2.44513272580164,,,1978.10107708641,1119.34588265432,61.3797617461963,2388279492.2,2.964,67136806.1634995,160828,14271752527.1166,11.1028237779771,7020,12810,15559157708.1233,28413051384.9093,24.8793287159182,,97,64.4032781650237,,39.106229887551,1.5321209980109,113.952368282031,2.05639551311088,146.4312098,50.3,82.0640653,471,107370002.746582,36004335.9432826,3.91240626047677,1.90562696994558,2217278,,,22.4,,100.661170959473,40.5085278342788,105.001441955566,,,54.4444444444444,581730,26.7403906303594,,41,2.14530104359691,3.1393901563764,Class 60.0-64.0
Brazil - 2013 [YR2013],62.936,4.5068861822272,1.19069731496202,98,2.41344604124948,80.2,,2560.09555974195,1456.10904746834,11.7422306432624,483734834011.9,1.748,75211029129.4,5069631.6,2472806919901.67,3.00482266944432,12750,15320,2571096779198.79,3090347659227.13,21.6937669589669,11.9697168242237,98,14.0437266822704,3.5,21.2248099517239,7.50456453292993,19.6063022995454,1.32944608407492,134.3929329,16.7,125.7597432,35308,1155729980.46875,2717675068.66,24.1347676636189,0.868346150167205,201721767,3.7,,0.5,,,28.6511222344884,109.945137023926,1.01664996147156,103.917678833008,75.5555555555556,8515770,14.1253057430265,,86.6,28.0385332599247,1.20455580861832,Class 70.0-74.0
British Virgin Islands - 2013 [YR2013],16.32,,,,,,,,,,,1.08,104804764398.1,36.28,,,,,,,,,,,,,,,,186.3628433,13.4,54.75504108,164,,,191.046666666667,0.82694328769179,28657,,,,,93.9051895141602,,105.790870666504,0.998839974403381,94.5028686523438,,150,,,,,1.60322537983142,Class 75.0-79.0
Brunei Darussalam - 2013 [YR2013],13.55,0.684659216396484,1.08235294117647,99.7,17.5097521994064,,18.3697415896994,9698.76269729076,7389.22327314417,68.0418746411061,,1.978,775641999.0889,3800,18093829923.2737,-2.12602851740175,44520,81390,18329057758.2386,33509559006.4759,39.590971332656,16.2873494784022,96,42.8950041962984,,70.0251777905385,-2.82132116989543,83.2272662220063,2.27750759504916,113.8721697,10.2,229.7436452,-395,,,78.1218216318786,1.23862687064177,411702,,,,,106.123931884766,,106.111030578613,1.01909005641937,104.913307189941,,5770,,,104.5,,1.68829067565892,Class 70.0-74.0
Bulgaria - 2013 [YR2013],42.783,4.51605399783225,26.0380952380952,99.7,5.45906018005221,,,4639.70632261155,2329.122801222,64.5816957844561,51652240788.2,1.48,1989040000,37946,55810138436.4821,-0.56049396557782,7590,16280,55162790187.3338,118282206004.376,21.0089745095622,8.28438930158745,95,65.1509633420078,5.7,23.5107977911967,0.0719620126108111,114.463073895981,1.45934011226913,141.1194769,9.2,106.6868538,-15243,,1666960000,66.922577376566,-0.559647217410859,7265115,1.8,,0.1,,98.9587936401367,32.5416813489779,98.0549392700195,0.966939985752106,101.453163146973,85.5555555555556,111000,19.6890596535923,,25,16.7089942812816,-0.0975440850654849,Class 70.0-74.0
Burkina Faso - 2013 [YR2013],130.291,23.6410927919708,6.544,,0.177575841974171,,,,,27.0769854530325,8941849034,5.697,490403410.536841,65664.4,13444301139.1384,5.79258484509867,750,1590,13218407263.8723,27958185156.6621,23.7099150061433,14.0169625118317,82,36.9588658493908,,24.0957515828697,-2.12917117768745,49.9914419533058,1.39010277644463,63.73682215,108.7,127.2211353,-33275,1045079956.05469,308469520.206762,64.4605555555556,3.00842195462805,17636408,,,1,20.9,62.344051361084,16.8259532010796,85.7183990478516,0.936890006065369,28.3659591674805,70,274220,14.9486419589637,,13,31.2932015437304,5.23061393535864,Class 55.0-59.0
Burundi - 2013 [YR2013],65.349,38.3674000405511,2.78429423459245,,0.0380823752556387,,,,,9.09525606883305,683609189.5,5.889,116727136.517749,2453.6,2451606684.31708,4.92418989834684,240,700,2477671025.74586,7074295572.52413,14.6326385171192,0.305334493764196,98,37.5088230179325,6.9,15.5848005138924,7.9531039994456,36.9145673239219,2.36763819325911,24.99444805,75.7,154.2469445,-2295,558830017.089844,48639473.8999705,395.232749221184,3.55110770404353,10149577,65.1,64.9,1.4,,70.719841003418,,136.63232421875,0.972280025482178,33.4114685058594,57.7777777777778,27830,,,5,13.7187278351432,6.09133047244049,Class 55.0-59.0
Cabo Verde - 2013 [YR2013],68.688,8.27906807070413,8.43333333333333,92.3,0.937141163833018,,,,,40.4924428420234,1492658588.6,2.198,89297443.9961387,436.2,1850470042.43281,0.802797600574223,3310,5300,1788290980.72479,2860973891.1569,31.6295846472791,,91,54.846645937621,,17.5154339092791,1.42841089006069,42.9080169790875,0.530303913318192,92.50250028,22.8,94.86383417,-1585,245160003.662109,175918335.416559,133.980148883375,1.13168973985358,539940,,,0.6,,92.3590621948242,26.5602749002853,108.192932128906,1.02904999256134,96.6594314575195,65.5555555555556,4030,17.8393062484842,,18,4.55462178038218,1.91810125041542,Class 75.0-79.0
Cambodia - 2013 [YR2013],53.473,31.595062429272,1.81094527363184,,0.382514750478394,,,221.938023623566,397.618736342628,62.3879357989172,7619394338,2.62,2068470774.00468,95437.84,15227991395.2201,7.35666514887971,960,2890,14367117133.459,43284451676.8772,20.0089169476891,1.21285515161475,79,67.6585508736566,,24.0676541704969,0.781387551821695,106.52094277576,1.59657370107149,135.0996151,35.3,69.62646635,-46754,808210021.972656,1003326430.78545,84.9744108316338,1.43049971596447,14999683,,,0.8,,93.699951171875,13.7447032279007,120.586723327637,,,70,181040,12.0788529602508,,101,5.71766110623949,3.21139272947192,Class 65.0-69.0
Cameroon - 2013 [YR2013],121.068,16.7236611923511,0.398681318681319,,0.348816730111844,,,257.386336058356,336.358732205881,23.6391086681711,5177990160,4.914,547404749.757182,207324.8,33728622819.0912,4.99552915947218,1510,3140,32720299329.9072,67829555750.4328,18.6515459693301,3.20273640500554,83,26.0354276783405,,26.7419459296371,3.05345916909472,33.0994836637117,1.21441461509967,72.41147607,96.9,153.0878625,-6900,751960021.972656,244128551.991109,45.763470203719,2.81353839574426,21632850,,,4,,,15.8187025581043,,,53.406379699707,56.6666666666667,475440,11.5221169765223,,16.5,3.33088124965454,3.95164861580655,Class 55.0-59.0
Canada - 2013 [YR2013],11.665,1.89423151227836,1.3080701754386,98,15.8384296829737,,,15750.8116334788,7743.72574213676,30.3319386683867,,1.61,67027866778.2682,3471983.1,1846597421834.98,2.3291225062102,52800,43620,1852504823000.09,1530453431372.55,24.907675073032,15.4918423383053,90,31.8991362329537,6.7,26.6132351758366,1.73744799956536,50.5846585159737,1.00236720047397,80.8813881,5.5,116.0515976,242475,,1336538605.70778,3.91306695934121,1.05659125917789,35082954,0.5,,,,,16.9526176646696,100.340713500977,1.00638997554779,109.485992431641,,9879750,11.6235045990299,,5.5,,1.1071099946107,Class 80.0-84.0
Caribbean small states - 2013 [YR2013],52.1193543513569,4.20204540257456,,,5.67670102260631,,,2962.44823721353,4849.48715989874,,,1.85957253303837,928627334.733554,365635.56,75232098978.6696,1.41952809011269,10168.3636140959,15150.5961757639,72560263220.0092,108112896841.095,,,93.143967329343,,,28.7658742187814,2.02635770609723,76.5710392000799,,108.443511238168,20.2400396723032,,-19814,353049994.34948,3105175975.84679,17.6259948128937,0.661419473223006,7135884,,,1.37562779205834,,92.038818359375,25.7092779568201,100.268508911133,1.01979994773865,85.5124664306641,,434990,21.4061131465605,,33.5769230769231,,0.798251925102548,Class 70.0-74.0
Central African Republic - 2013 [YR2013],163.105,32.2589062460725,0.0514184397163121,,0.0253205253675849,,,,,14.9729547921906,597631051.4,6.017,1852792.6,225130,1691544192.38242,-36.3919770983887,350,690,1670496570.16394,3314143517.70327,7.5153240218181,0.289135277016258,25,23.4263327799409,,24.1913069915363,2.48748677760067,19.4496839917985,3.1558239633056,28.32525547,121.1,69.32867448,-112663,202820007.324219,0,7.7087996404379,0.608247676561223,4802428,,,4.2,,,,,,,57.7777777777778,622980,,,22,,1.30399055352486,Class 50.0-54.0
